t.day,sp,numbr,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc
127.4126318,quke_post,59.2,2,quke_post 47.2 2 MPa,quke_post 47.2,111.99,1.37,-0.090597608,0.986086912,-10.14602607,-6.88279696,v18,-322.1500896
127.4288895,quke_post,59.1,2,quke_post 59.1 2 MPa,quke_post 59.1,57.07,1.43,-0.027879993,0.999260025,-1.591111214,-0.990691827,v18,-463.3494409
127.4441308,quke_post,977.3,2,quke_post 977.3 2 MPa,quke_post 977.3,43.93,1.07,-0.012002682,0.935912962,-0.527277813,-0.586383931,v18,-140.1399534
127.4592639,quke_post,977.1,2,quke_post 977.1 2 MPa,quke_post 977.1,47.02,1.62,-0.008818642,0.994051725,-0.414652526,-0.201170551,v18,62.96482875
127.4715503,quke_post,977.2,2,quke_post 977.2 2 MPa,quke_post 977.2,114,1.9,-0.013915083,0.994713373,-1.586319454,-0.559491595,v18,-25.13241479
127.484135,quke_post,59.3,2,quke_post 59.3 2 MPa,quke_post 59.3,56,1.25,-0.01781825,0.997373695,-0.997822005,-0.813098519,v18,9.515374687
127.5250471,quke_post,47.22,2,quke_post 47.22 2 MPa,quke_post 47.22,89,2.1,-0.005327825,0.850244386,-0.474176459,-0.136902544,v18,88.47950819
127.5586491,quke_post,198.1,2,quke_post 198.1 2 MPa,quke_post 198.1,101,1.25,-0.01474454,0.942301601,-1.489198526,-1.21350813,v18,2.599479944
127.5814726,quke_post,198.2,2,quke_post 198.2 2 MPa,quke_post 198.2,98,2,-0.071381907,0.989503009,-6.995426898,-2.22671354,v18,-42.66800845
127.5990539,quke_post,26.3,2,quke_post 26.3 2 MPa,quke_post 26.3,87,3,-0.00489958,0.944261643,-0.426263441,-0.060303941,v18,86.78753781
127.6212921,quke_post,26.1,2,quke_post 26.1 2 MPa,quke_post 26.1,58,2.1,-0.016987462,0.999818874,-0.985272809,-0.284464468,v18,54.32343087
127.6315293,quke_post,912.1,2,quke_post 912.1 2 MPa,quke_post 912.1,84,1.75,-0.067908442,0.999973967,-5.704309154,-2.37157616,v18,2.338949999
127.6431887,quke_post,912.2,2,quke_post 912.2 2 MPa,quke_post 912.2,41,1.25,-0.096670953,0.999711462,-3.963509082,-3.229757759,v18,-695.8332491
127.6546237,quke_post,912.3,2,quke_post 912.3 2 MPa,quke_post 912.3,64,1.5,-0.419208912,0.999925757,-26.8293704,-15.18231793,v18,-1098.542707
127.6650126,quke_post,208.1,2,quke_post 208.1 2 MPa,quke_post 208.1,41,1,-0.018076302,0.996303751,-0.741128399,-0.943633985,v18,-29.95125892
127.6768477,quke_post,208.2,2,quke_post 208.2 2 MPa,quke_post 208.2,57,1.25,-0.026545052,0.996370744,-1.513067967,-1.232958701,v18,-129.6136546
127.6952471,quke_post,126.3,2,quke_post 126.3 2 MPa,quke_post 126.3,34,1.25,-0.333525382,0.903949791,-11.339863,-9.240551686,v18,-1029.075207
127.7058356,quke_post,126.1,2,quke_post 126.1 2 MPa,quke_post 126.1,34,1.25,-0.008182555,0.962526494,-0.278206884,-0.226703364,v18,-30.46717562
127.7162139,quke_post,126.2,2,quke_post 126.2 2 MPa,quke_post 126.2,28,1.5,-0.008280167,0.997367839,-0.231844683,-0.131197253,v18,13.30960475
129.4393901,quke_post,912.1,0,quke_post 912.1 0 MPa,quke_post 912.1,84,1.75,-0.069534827,0.998360678,-5.84092548,-2.428374628,v18,0
129.4507777,quke_post,912.2,0,quke_post 912.2 0 MPa,quke_post 912.2,41,1.25,-0.012147137,0.963161209,-0.498032608,-0.405833479,v18,0
129.4620953,quke_post,208.1,0,quke_post 208.1 0 MPa,quke_post 208.1,41,1,-0.013910063,0.98509157,-0.570312596,-0.72614455,v18,0
129.4725163,quke_post,59.3,0,quke_post 59.3 0 MPa,quke_post 59.3,56,1.25,-0.01969202,0.994017312,-1.102753094,-0.898604062,v18,0
129.4836079,quke_post,126.3,0,quke_post 126.3 0 MPa,quke_post 126.3,34,1.25,-0.029539696,0.998595661,-1.00434966,-0.818417731,v18,0
129.4934779,quke_post,208.2,0,quke_post 208.2 0 MPa,quke_post 208.2,57,1.25,-0.011560746,0.994630577,-0.658962539,-0.536970984,v18,0
129.5109747,quke_post,59.1,0,quke_post 59.1 0 MPa,quke_post 59.1,57.07,1.43,-0.00494897,0.989698942,-0.282437702,-0.175857426,v18,0
129.5212076,quke_post,26.1,0,quke_post 26.1 0 MPa,quke_post 26.1,58,2.1,-0.037190758,0.999744477,-2.157063956,-0.622779848,v18,0
129.5312633,quke_post,977.3,0,quke_post 977.3 0 MPa,quke_post 977.3,43.93,1.07,-0.004998203,0.960012828,-0.219571048,-0.244184245,v18,0
129.5437915,quke_post,912.3,0,quke_post 912.3 0 MPa,quke_post 912.3,64,1.5,-0.034976552,0.999608568,-2.238499325,-1.266731494,v18,0
129.555756,quke_post,198.2,0,quke_post 198.2 0 MPa,quke_post 198.2,98,2,-0.050033576,0.999993682,-4.903290495,-1.560765839,v18,0
129.5721458,quke_post,977.1,0,quke_post 977.1 0 MPa,quke_post 977.1,47.02,1.62,-0.023811532,0.915195855,-1.119618222,-0.543187851,v18,0
129.5827437,quke_post,47.22,0,quke_post 47.22 0 MPa,quke_post 47.22,89,2.1,-0.04624651,0.998915336,-4.115939383,-1.188339407,v18,0
129.5947562,quke_post,977.2,0,quke_post 977.2 0 MPa,quke_post 977.2,114,1.9,-0.011120286,0.974955152,-1.267712652,-0.447119634,v18,0
129.6071473,quke_post,198.1,0,quke_post 198.1 0 MPa,quke_post 198.1,101,1.25,-0.01513805,0.980666525,-1.528943096,-1.245894919,v18,0
129.6191912,quke_post,26.3,0,quke_post 26.3 0 MPa,quke_post 26.3,87,3,-0.037083018,0.999581716,-3.226222599,-0.456417133,v18,0
129.6292476,quke_post,47.2,0,quke_post 47.2 0 MPa,quke_post 47.2,2.1,1.37,-0.021460995,0.986105381,-0.045068088,-0.030573005,v18,98.12483257
129.6292476,quke_post,47.2,0,quke_post 47.2 0 MPa,quke_post 47.2,2.1,1.37,-0.021460995,0.986105381,-0.045068088,-0.030573005,v18,98.12483257
129.6292476,quke_post,47.2,0,quke_post 47.2 0 MPa,quke_post 47.2,111.99,1.37,-0.021460995,0.986105381,-2.403416775,-1.630414663,v18,0
129.640676,quke_post,126.1,0,quke_post 126.1 0 MPa,quke_post 126.1,34,1.25,-0.006271735,0.955145954,-0.213238988,-0.173762759,v18,0
129.6499884,quke_post,126.2,0,quke_post 126.2 0 MPa,quke_post 126.2,28,1.5,-0.009551424,0.920847414,-0.267439874,-0.15134001,v18,0
140.3833299,quke_post,977.3.1,0,quke_post 977.31 0 MPa,quke_post 977.31,59.75,2.28,-0.014087373,0.99378292,-0.841720521,-0.206161868,v18,0
140.4026786,quke_post,59.3.1,0,quke_post 59.31 0 MPa,quke_post 59.31,84.69,2.01,-0.037114705,0.996698051,-3.143244384,-0.990595047,v18,0
140.4251181,quke_post,977.2.1,0,quke_post 977.21 0 MPa,quke_post 977.21,28.98,1.91,-0.01033025,0.938138569,-0.299370634,-0.104484671,v18,0
140.4509096,quke_post,216.2.1,0,quke_post 216.21 0 MPa,quke_post 216.21,78.34,1.62,-0.034740631,0.998644816,-2.721581037,-1.320387365,v18,0
140.4682548,quke_post,208.3.1,0,quke_post 208.31 0 MPa,quke_post 208.31,72.18,1.96,-0.077280568,0.99975876,-5.578111401,-1.848779681,v18,0
140.4896227,quke_post,977.4.1,0,quke_post 977.41 0 MPa,quke_post 977.41,53.6,2.16,-0.002521191,0.927948378,-0.135135825,-0.036878488,v18,0
140.5023217,quke_post,198.1.1,0,quke_post 198.11 0 MPa,quke_post 198.11,73.75,1.56,-0.026334336,0.999912677,-1.942157277,-1.016120746,v18,0
140.5180893,quke_post,977.5.1,0,quke_post 977.51 0 MPa,quke_post 977.51,52.01,1.94,-0.004695464,0.930423421,-0.244211102,-0.082617502,v18,0
140.5347885,quke_post,977.1.1,0,quke_post 977.11 0 MPa,quke_post 977.11,36.25,1.95,-0.051593492,0.992065426,-1.87026408,-0.626244362,v18,0
140.5492295,quke_post,216.1.1,0,quke_post 216.11 0 MPa,quke_post 216.11,109.92,2.17,-0.1689969,0.998943667,-18.57613923,-5.022802578,v18,0
140.5606575,quke_post,216.3.1,0,quke_post 216.31 0 MPa,quke_post 216.31,48.03,1.84,-0.039336412,0.995725659,-1.889327854,-0.710528987,v18,0
140.5778023,quke_post,208.2.1,0,quke_post 208.21 0 MPa,quke_post 208.21,47.85,1.83,-0.035979671,0.997246512,-1.721627249,-0.65455639,v18,0
140.5919363,quke_post,47.3.1,0,quke_post 47.31 0 MPa,quke_post 47.31,66.32,1.5,-0.048683581,0.999972261,-3.22869509,-1.827067674,v18,0
140.6096218,quke_post,47.1.1,0,quke_post 47.11 0 MPa,quke_post 47.11,74.02,1.89,-0.041647699,0.998780956,-3.082762656,-1.098820111,v18,0
140.6284182,quke_post,198.3.1,0,quke_post 198.31 0 MPa,quke_post 198.31,74.4,2,-0.062519767,0.997164418,-4.651470688,-1.480609105,v18,0
140.6433218,quke_post,126.3.1,0,quke_post 126.31 0 MPa,quke_post 126.31,48.13,2.31,-0.00484319,0.969704781,-0.233102716,-0.055620321,v18,0
140.6590555,quke_post,126.1.1,0,quke_post 126.11 0 MPa,quke_post 126.11,61.29,1.98,-0.025445004,0.983134139,-1.559524304,-0.506491178,v18,0
140.6748805,quke_post,208.1.1,0,quke_post 208.11 0 MPa,quke_post 208.11,86.13,1.76,-0.070765087,0.998689448,-6.094996977,-2.505291573,v18,0
140.6908738,quke_post,59.1.1,0,quke_post 59.11 0 MPa,quke_post 59.11,48.23,1.34,-0.023226509,0.989444816,-1.120214525,-0.794331383,v18,0
140.7077957,quke_post,47.2.1,0,quke_post 47.21 0 MPa,quke_post 47.21,60.94,2.05,-0.044431486,0.998936368,-2.707654748,-0.820343391,v18,0
140.7232288,quke_post,26.3.1,0,quke_post 26.31 0 MPa,quke_post 26.31,72.34,2.56,-0.048875979,0.999107677,-3.535688312,-0.686916836,v18,0
140.7380821,quke_post,59.2.1,0,quke_post 59.21 0 MPa,quke_post 59.21,59.68,2.11,-0.006473468,0.985997943,-0.38633657,-0.110486961,v18,0
140.7540134,quke_post,126.2.1,0,quke_post 126.21 0 MPa,quke_post 126.21,42.53,2.04,-0.004298111,0.980794758,-0.182798649,-0.05592716,v18,0
140.7712056,quke_post,26.2.1,0,quke_post 26.21 0 MPa,quke_post 26.21,69.79,1.8,-0.006670893,0.99853021,-0.465561634,-0.182954161,v18,0
140.7831826,quke_post,126.4.1,0,quke_post 126.41 0 MPa,quke_post 126.41,58.01,2.19,-0.010772216,0.990997989,-0.624896231,-0.165893662,v18,0
140.7956569,quke_post,198.4.1,0,quke_post 198.41 0 MPa,quke_post 198.41,52.36,1.78,-0.036474465,0.999806737,-1.909802964,-0.767465174,v18,0
140.8093006,quke_post,26.4.1,0,quke_post 26.41 0 MPa,quke_post 26.41,57.24,1.8,-0.008450779,0.987713647,-0.483722616,-0.190090976,v18,0
140.8304258,quke_post,26.1.1,0,quke_post 26.11 0 MPa,quke_post 26.11,40.18,1.83,-0.050800343,0.99724028,-2.041157779,-0.77604073,v18,0
